** CONVERTED FROM W:\#Common\4Conor\SceneConstruction_data\SC\991546040\991546040_Block_1_toTrial5.edf using edfapi 3.1 Win32 Apr 29 2011 on Sat Jul 06 17:09:00 2019
** DATE: Thu Jul  4 04:01:38 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BDE33
** CAMERA_CONFIG: BDE33200.SCD
** Heins_SC
**

MSG	4155054 RECCFG CR 1000 1 1 R
MSG	4155054 ELCLCFG MTABLER
MSG	4155054 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4155054 THRESHOLDS R 101 230
MSG	4155054 ELCL_WINDOW_SIZES 176 188 0 0
MSG	4155054 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	4155054 ELCL_PROC ELLIPSE  (5)
MSG	4155054 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4155055 !MODE RECORD CR 1000 1 1 R
START	4155056 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	4155056	127
4155292	  925.4	  516.9	 5501.0	...
4155293	  925.4	  516.9	 5501.0	...
4155294	  925.3	  517.9	 5500.0	...
4155295	  925.2	  517.9	 5498.0	...
4155296	  925.2	  515.9	 5501.0	...
4155297	  925.7	  515.8	 5500.0	...
4155298	  925.7	  515.6	 5500.0	...
4155299	  926.0	  515.5	 5505.0	...
4155300	  926.0	  515.5	 5505.0	...
4155301	  926.3	  515.7	 5505.0	...
4155302	  926.8	  515.9	 5506.0	...
4155303	  928.5	  517.8	 5506.0	...
4155304	  928.5	  517.8	 5501.0	...
4155305	  928.5	  518.2	 5497.0	...
4155306	  928.6	  518.2	 5497.0	...
4155307	  928.6	  517.8	 5497.0	...
4155308	  928.1	  517.5	 5497.0	...
4155309	  928.1	  515.7	 5497.0	...
4155310	  929.2	  515.3	 5497.0	...
4155311	  929.9	  515.2	 5496.0	...
4155312	  931.2	  515.6	 5496.0	...
4155313	  931.3	  516.0	 5498.0	...
4155314	  931.4	  515.2	 5498.0	...
4155315	  931.5	  515.2	 5498.0	...
4155316	  931.5	  515.1	 5498.0	...
4155317	  930.7	  515.0	 5498.0	...
4155318	  930.6	  514.9	 5497.0	...
4155319	  932.0	  514.8	 5497.0	...
4155320	  932.0	  514.5	 5497.0	...
4155321	  929.8	  514.7	 5495.0	...
4155322	  928.3	  514.9	 5495.0	...
4155323	  928.1	  515.2	 5499.0	...
4155324	  927.9	  515.6	 5498.0	...
4155325	  927.6	  515.4	 5497.0	...
4155326	  926.2	  515.3	 5495.0	...
4155327	  925.4	  516.0	 5495.0	...
4155328	  925.6	  516.0	 5497.0	...
4155329	  925.8	  516.7	 5498.0	...
4155330	  926.2	  516.7	 5500.0	...
4155331	  926.7	  514.8	 5499.0	...
4155332	  926.7	  514.8	 5498.0	...
4155333	  926.7	  516.6	 5497.0	...
4155334	  927.4	  516.6	 5495.0	...
4155335	  927.2	  517.3	 5495.0	...
4155336	  927.2	  517.3	 5495.0	...
4155337	  927.6	  517.2	 5497.0	...
4155338	  928.1	  517.1	 5497.0	...
4155339	  928.5	  516.9	 5497.0	...
4155340	  928.5	  516.7	 5497.0	...
4155341	  926.8	  515.5	 5496.0	...
4155342	  926.8	  515.5	 5496.0	...
4155343	  927.5	  516.7	 5492.0	...
4155344	  927.5	  516.7	 5493.0	...
4155345	  927.4	  516.7	 5493.0	...
4155346	  927.4	  516.6	 5493.0	...
4155347	  928.3	  516.4	 5489.0	...
4155348	  928.2	  515.3	 5489.0	...
4155349	  928.6	  515.2	 5489.0	...
4155350	  928.8	  516.2	 5489.0	...
4155351	  928.8	  516.2	 5492.0	...
4155352	  929.3	  516.9	 5492.0	...
4155353	  929.7	  517.6	 5493.0	...
4155354	  930.0	  517.8	 5493.0	...
4155355	  930.0	  517.8	 5495.0	...
4155356	  930.3	  516.0	 5495.0	...
4155357	  930.3	  516.0	 5495.0	...
4155358	  928.8	  516.8	 5495.0	...
4155359	  928.6	  517.1	 5489.0	...
4155360	  927.5	  517.1	 5489.0	...
4155361	  927.5	  517.0	 5487.0	...
4155362	  927.5	  516.9	 5488.0	...
4155363	  926.3	  517.0	 5488.0	...
4155364	  926.3	  517.1	 5488.0	...
4155365	  926.2	  517.1	 5488.0	...
4155366	  926.3	  518.9	 5488.0	...
4155367	  926.3	  518.9	 5488.0	...
4155368	  924.3	  518.6	 5489.0	...
4155369	  924.3	  518.7	 5489.0	...
4155370	  924.2	  518.8	 5488.0	...
4155371	  924.2	  520.3	 5488.0	...
4155372	  924.7	  520.3	 5485.0	...
4155373	  925.1	  519.4	 5485.0	...
4155374	  925.0	  517.2	 5484.0	...
4155375	  925.0	  517.2	 5484.0	...
4155376	  925.1	  517.4	 5485.0	...
4155377	  926.5	  517.3	 5486.0	...
4155378	  926.5	  516.2	 5486.0	...
4155379	  927.1	  516.2	 5486.0	...
4155380	  927.1	  517.2	 5488.0	...
4155381	  927.2	  517.8	 5488.0	...
4155382	  927.0	  519.6	 5492.0	...
4155383	  927.0	  520.1	 5492.0	...
4155384	  927.5	  520.1	 5486.0	...
4155385	  927.3	  518.1	 5485.0	...
4155386	  927.3	  517.6	 5485.0	...
4155387	  927.4	  517.6	 5486.0	...
4155388	  927.4	  518.2	 5486.0	...
4155389	  927.7	  518.2	 5483.0	...
4155390	  927.5	  517.8	 5483.0	...
4155391	  927.4	  517.4	 5483.0	...
4155392	  927.7	  517.0	 5483.0	...
4155393	  927.7	  516.7	 5483.0	...
4155394	  928.0	  516.7	 5483.0	...
4155395	  928.0	  516.7	 5482.0	...
4155396	  927.4	  518.1	 5482.0	...
4155397	  927.4	  518.1	 5482.0	...
4155398	  927.6	  518.2	 5483.0	...
4155399	  927.7	  518.2	 5485.0	...
4155400	  927.9	  517.6	 5485.0	...
4155401	  927.9	  517.6	 5479.0	...
4155402	  927.7	  517.7	 5479.0	...
4155403	  927.4	  517.7	 5479.0	...
4155404	  927.3	  517.7	 5478.0	...
4155405	  927.3	  519.0	 5474.0	...
4155406	  927.3	  519.0	 5474.0	...
4155407	  927.3	  519.4	 5474.0	...
4155408	  927.3	  519.4	 5474.0	...
4155409	  927.2	  519.1	 5473.0	...
4155410	  927.2	  518.7	 5473.0	...
4155411	  926.8	  518.7	 5473.0	...
4155412	  926.9	  518.7	 5472.0	...
4155413	  926.9	  519.0	 5472.0	...
4155414	  927.2	  518.9	 5473.0	...
4155415	  927.2	  518.9	 5474.0	...
4155416	  926.8	  519.0	 5474.0	...
4155417	  926.7	  519.3	 5474.0	...
4155418	  926.7	  519.7	 5474.0	...
4155419	  927.7	  519.8	 5469.0	...
4155420	  927.7	  519.8	 5469.0	...
4155421	  926.7	  518.4	 5469.0	...
4155422	  926.8	  518.7	 5469.0	...
4155423	  926.8	  518.7	 5469.0	...
4155424	  926.7	  518.4	 5469.0	...
4155425	  926.7	  518.1	 5471.0	...
4155426	  927.1	  518.3	 5471.0	...
4155427	  926.6	  518.4	 5469.0	...
4155428	  926.1	  517.5	 5469.0	...
4155429	  926.0	  515.7	 5469.0	...
4155430	  925.7	  515.7	 5468.0	...
4155431	  925.5	  517.1	 5467.0	...
4155432	  925.5	  517.1	 5467.0	...
4155433	  925.2	  517.8	 5467.0	...
4155434	  925.3	  517.8	 5465.0	...
4155435	  925.3	  516.8	 5463.0	...
4155436	  924.2	  516.2	 5457.0	...
4155437	  924.2	  516.0	 5457.0	...
4155438	  924.4	  516.0	 5464.0	...
4155439	  924.6	  517.2	 5467.0	...
4155440	  924.9	  517.1	 5467.0	...
4155441	  924.9	  517.1	 5465.0	...
4155442	  924.6	  516.7	 5467.0	...
4155443	  924.6	  516.7	 5467.0	...
4155444	  925.8	  516.8	 5461.0	...
4155445	  925.8	  517.0	 5462.0	...
4155446	  925.8	  517.0	 5462.0	...
4155447	  926.2	  516.9	 5462.0	...
4155448	  926.2	  516.9	 5454.0	...
4155449	  926.2	  518.8	 5454.0	...
4155450	  927.1	  518.8	 5454.0	...
4155451	  927.1	  518.7	 5454.0	...
4155452	  927.0	  518.1	 5461.0	...
4155453	  928.1	  518.0	 5461.0	...
4155454	  928.5	  517.9	 5458.0	...
4155455	  928.5	  517.9	 5457.0	...
4155456	  928.9	  518.8	 5457.0	...
4155457	  929.6	  518.7	 5458.0	...
4155458	  929.6	  518.7	 5457.0	...
4155459	  929.6	  518.6	 5456.0	...
4155460	  929.7	  517.1	 5455.0	...
4155461	  929.7	  517.1	 5455.0	...
4155462	  930.1	  517.1	 5458.0	...
4155463	  930.2	  517.0	 5458.0	...
4155464	  930.4	  517.6	 5456.0	...
4155465	  931.8	  517.5	 5456.0	...
4155466	  931.7	  517.7	 5455.0	...
4155467	  931.7	  517.7	 5453.0	...
4155468	  931.7	  517.8	 5451.0	...
4155469	  931.7	  517.8	 5451.0	...
4155470	  931.7	  517.8	 5451.0	...
4155471	  931.5	  515.8	 5450.0	...
4155472	  931.3	  515.8	 5451.0	...
4155473	  931.4	  516.9	 5451.0	...
4155474	  932.0	  517.1	 5451.0	...
4155475	  932.0	  517.1	 5450.0	...
4155476	  931.9	  516.4	 5449.0	...
4155477	  931.8	  516.4	 5449.0	...
4155478	  931.8	  518.5	 5449.0	...
4155479	  931.7	  518.5	 5445.0	...
4155480	  931.7	  519.5	 5445.0	...
4155481	  931.7	  519.5	 5440.0	...
4155482	  932.0	  519.4	 5440.0	...
4155483	  932.0	  519.2	 5440.0	...
4155484	  930.4	  519.8	 5439.0	...
4155485	  930.4	  519.8	 5438.0	...
4155486	  930.4	  519.2	 5436.0	...
4155487	  930.3	  518.3	 5436.0	...
4155488	  929.8	  518.4	 5438.0	...
4155489	  929.8	  518.4	 5438.0	...
4155490	  929.9	  518.7	 5436.0	...
4155491	  929.8	  518.8	 5436.0	...
4155492	  929.8	  518.8	 5436.0	...
4155493	  929.8	  518.8	 5443.0	...
4155494	  929.8	  518.7	 5443.0	...
4155495	  929.6	  518.7	 5439.0	...
4155496	  929.7	  519.5	 5437.0	...
4155497	  929.7	  519.5	 5436.0	...
4155498	  929.7	  519.5	 5431.0	...
4155499	  929.9	  519.4	 5433.0	...
4155500	  929.9	  519.4	 5433.0	...
4155501	  929.1	  519.4	 5432.0	...
4155502	  928.4	  519.6	 5431.0	...
4155503	  927.7	  519.8	 5423.0	...
4155504	  927.7	  519.8	 5423.0	...
4155505	  928.3	  518.3	 5424.0	...
4155506	  928.3	  518.3	 5424.0	...
4155507	  928.4	  520.2	 5423.0	...
4155508	  928.4	  520.2	 5424.0	...
4155509	  928.4	  518.5	 5424.0	...
4155510	  928.1	  518.5	 5423.0	...
4155511	  927.8	  518.1	 5422.0	...
4155512	  927.8	  518.1	 5422.0	...
4155513	  927.9	  519.1	 5418.0	...
4155514	  928.0	  519.1	 5417.0	...
4155515	  927.9	  518.1	 5417.0	...
4155516	  927.2	  517.7	 5417.0	...
4155517	  927.2	  517.7	 5412.0	...
4155518	  927.2	  517.7	 5412.0	...
4155519	  927.1	  517.6	 5415.0	...
4155520	  927.0	  517.6	 5415.0	...
4155521	  927.1	  517.8	 5413.0	...
4155522	  927.1	  518.5	 5412.0	...
4155523	  926.6	  518.5	 5412.0	...
4155524	  926.2	  518.5	 5408.0	...
4155525	  926.1	  518.4	 5408.0	...
4155526	  926.3	  517.6	 5406.0	...
4155527	  926.5	  517.5	 5405.0	...
4155528	  928.8	  517.4	 5405.0	...
4155529	  931.5	  517.5	 5405.0	...
EFIX R   4155062	4155529	468	  927.1	  515.2	   5478
SSACC R  4155530
4155530	  933.0	  517.6	 5404.0	...
4155531	  934.0	  517.6	 5404.0	...
4155532	  936.3	  517.5	 5396.0	...
4155533	  939.3	  518.9	 5396.0	...
4155534	  943.5	  520.6	 5397.0	...
4155535	  947.0	  522.2	 5397.0	...
4155536	  950.4	  522.0	 5394.0	...
4155537	  951.7	  521.9	 5393.0	...
ESACC R  4155530	4155537	8	  931.1	  517.5	  949.7	  522.0	   0.33	     46
SFIX R   4155538
4155538	  954.2	  523.1	 5393.0	...
4155539	  955.1	  525.7	 5393.0	...
4155540	  955.4	  525.7	 5387.0	...
4155541	  955.4	  525.2	 5387.0	...
4155542	  954.4	  525.3	 5387.0	...
4155543	  954.3	  525.9	 5387.0	...
4155544	  954.2	  526.6	 5388.0	...
4155545	  952.2	  527.7	 5388.0	...
4155546	  951.2	  527.8	 5383.0	...
4155547	  950.5	  525.7	 5383.0	...
4155548	  950.5	  525.7	 5383.0	...
4155549	  949.6	  525.9	 5383.0	...
